"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"39147","39147_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China donates US$50,000 in emergency cash aid for Vietnamese flood victims (Linked to Project ID#34203)","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2000","2000","84862.29097","0.0","84862.29097","0.0"
"34896","34896_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","Vietnam sent 40 officials to China to join training courses ( link to project ID:#34895)","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","150","Government and Civil Society","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"34332","34332_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","20 million yuan in grant for Vietnamese officials to study socioeconomic development","2002-05-13","start-actual","","end-actual","China","CHN","Viet Nam","VNM","150","Government and Civil Society","Pipeline/identification","2002","2002","3994549.815","0.0","3994549.815","0.0"
"34330","34330_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China increases number of scholarships available to Vietnamese students (Linked to Project ID#34331)","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","110","Education","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"34331","34331_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","China pledges to provide textbooks and teaching equipment to Vietnam (linked to Project ID #34330)","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","110","Education","Completion"," "," ","0.0","0.0","0.0","0.0"
"35302","35302_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China Red Cross donates $30,000 to Vietnam flood victims","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion"," "," ","0.0","0.0","0.0","0.0"
"35271","35271_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China's Red Cross donated $30,000 to Vietnam's Red Cross Association","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2011","2011","24868.51234","0.0","24868.51234","0.0"
"34646","34646_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","US$300 million in soft loan","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","998","Unallocated / Unspecified","Pipeline/identification","2009","2009","300000000.0","0.0","300000000.0","0.0"
"38898","38898_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","China offers to help Vietnam host APEC meeting in 2017","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","150","Government and Civil Society","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"34482","34482_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China provides supplies to Vietnam to battle bird flu (linked to project ID:#34481)","","start-actual","2004-02-24","end-actual","China","CHN","Viet Nam","VNM","120","Health","Completion","2004","2004","36411.77433","0.0","36411.77433","0.0"
"35233","35233_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","Chinese Embassy granted $10,000 as relief aid to flood victims","","start-actual","2010-10-08","end-actual","China","CHN","Viet Nam","VNM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2010","2010","9296.762985","0.0","9296.762985","0.0"
"35226","35226_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","Chinese embassy aids Vietnam 90 million VND for AO/dioxin victims","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","120","Health","Completion"," "," ","0.0","0.0","0.0","0.0"
"34481","34481_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China donates US$100 000 in emergency aid to Vietnam for bird flu (link to project ID:#34482)","","start-actual","2004-02-10","end-actual","China","CHN","Viet Nam","VNM","120","Health","Completion","2004","2004","150686.502","0.0","150686.502","0.0"
"35495","35495_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","China to train 6 Vietnamese diplomats","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","150","Government and Civil Society","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"38926","38926_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","Chinese Ministry donates computers to Vietnamese Ministry","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","150","Government and Civil Society","Completion"," "," ","0.0","0.0","0.0","0.0"
"38929","38929_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China lends help for search and rescue efforts for Vietnamese fishermen","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion"," "," ","0.0","0.0","0.0","0.0"
"38918","38918_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","Chinese embassy donates US$5000 to victims of Agent Orange in Vietnam ","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","120","Health","Completion","2011","2011","4144.752057","0.0","4144.752057","0.0"
"34682","34682_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","50 million Yuan in grant for personnel training","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","110","Education","Pipeline/identification","2006","2006","8439273.717","0.0","8439273.717","0.0"
"34587","34587_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","All-China Women's Federation donates office equipment to Vietnam Women's Union","","start-actual","2004-04-22","end-actual","China","CHN","Viet Nam","VNM","920","Support to Non-governmental Organizations (NGOs) and Government Organizations","Completion","2004","2004","30137.30041","0.0","30137.30041","0.0"
"34895","34895_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","China to grant 130 scholarships to Vietnamese students annually","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","110","Education","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"39314","39314_1562822","8","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","2","1","China and Vietnam sign MoU on bilateral cooperation in agro-products trading","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","310","Agriculture, Forestry, Fishing","Pipeline/identification"," "," ","0.0","0.0","0.0","0.0"
"34897","34897_1562822","6","1562822","Vietnam","","","PCLI","independent political entity","6295630|6255147|VN","Earth|Asia|Vietnam","1","1","1","Chinese government donates 1.5 million in Chinese Yuan to Vietnam to battle bird flu ","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","120","Health","Completion","2005","2005","262762.4002","0.0","262762.4002","0.0"
