"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"BD99jWKhoeNbiwmfNevj3T","32079","","2002","C","USD","9986374.537"
"Kq32KoxH6RDpCXTbyEK976","32077","","2003","C","USD","38665865.42"
"6M3CLhAhHUi4KP9QFyuSya","32067","","2003","C","USD","32221.55451"
"ocir5dRS8ZtQmUykiiAwSZ","32081","","2003","C","USD","9732213.294"
"u4wNRpuYJijmEXzUQ6Wc5P","32089","","2004","C","USD","75343.25102"
"biihM9a2bXLBUVCDU8ovzJ","38889","","2004","C","USD","364117.7433"
"mkAw9eSfgaHfuJHhPG7Gxh","32083","","2004","C","USD","45514717.91"
"XS8eRipVxBmMSc3XyFVQPZ","32102","","2005","C","USD","43793733.36"
"MS4wstT8VpgUdj7QBfWscL","32063","","2005","C","USD","8758746.672"
"Vt6D543HemPXJ2r6hwNGS7","35662","","2005","C","USD","39426622.27"
"scK8YtVFQeyehe6radkF8K","33160","","2005","C","USD","350349.8669"
"tBkKYf7LHywtdYexijMBD8","33163","","2005","C","USD","14497932.65"
"ta7WGY6aQUW5SNuH5ge6FL","32061","","2005","C","USD","8758746.672"
"xZzYCjUbza5PucbKCCo8k9","33156","","2006","C","USD","16878547.43"
"8igsi626pDdrjnGp7o4MVk","32147","","2006","C","USD","20187.00857"
"q7JQfkg79yJ3TnonAe9oXo","33215","","2006","C","USD","50635.6423"
"EjYUJ2HPaufyLirCfHwAEK","32166","","2006","C","USD","43738518.57"
"ZLLAdiab6wYb9JTEA4wkyA","33057","","2007","C","USD","34348259.34"
"RxSJsfk3yp3CR7RWymgXqC","33058","","2007","C","USD","51913946.32"
"ktdHqDi9RLRNKxeSmkdZDB","32146","","2007","C","USD","21176228.23"
"iyksHnsG7FxJHeJtkxgfwE","32105","","2007","C","USD","49976441.54"
"3jwKWQiz9uqc3MNihwhckM","32153","","2007","C","USD","61933555.78"
"MbwVmFGftTf8modauDwjWH","32239","","2007","C","USD","85337896.86"
"gQqAUaum56yRNy59boLxZe","32126","","2007","C","USD","1491655.968"
"mCdQtjDNgDCp5daZajNuBG","32202","","2007","C","USD","56205596.86"
"VA8rygqVT7Bjbtz9QJnaZH","32162","","2007","C","USD","12548875.99"
"TuJLXbKM787cCoDW4VTfHk","32150","","2007","C","USD","108592554.4"
"STG9GZ7ECAMcVzD8KtJHeV","38785","","2008","C","USD","58443110.78"
"bMRwSDXVVTWbnWrt7PnYgb","33105","","2008","C","USD","73306.6701"
"w7PNRN78LFkiYfJouM4wo","38774","","2008","C","USD","81709.13118"
"6CyYGjcGVDMAZYX7trU88R","32456","","2008","C","USD","14155.77078"
"LbfAgjyG8xUqQLow4fWx65","38772","","2008","C","USD","146613.3402"
"Jw3pXVUJtkCSjtdKYAuXmD","35590","","2008","C","USD","2930750.114"
"KxAKg6ncEuyAB9ed5m6Va4","38749","","2008","C","USD","654812.9355"
"KUCczcw2nt3bUSARwA8YhX","38846","","2008","C","USD","72756.99284"
"DeZ7UzP4St4yZR8fRr4Lac","35272","","2008","C","USD","505563242.1"
"cUex8M9R6sbBYorTksS9pP","32168","","2009","C","USD","92088050.59"
"GDX88ZDhazKcRsRGYC8Nwm","32119","","2009","C","USD","74767807.45"
"Yji2EWbuTUTexCaWmnqncm","32180","","2009","C","USD","15228192.0"
"UjBdvgqrGZb2jLxSypNgH3","38647","","2009","C","USD","14800000.0"
"EHJNZEaCuF28spoTbsCmpX","32149","","2009","C","USD","69592394.37"
"vBqUHgg7cfUmwSnx2H2o3V","33071","","2009","C","USD","50000000.0"
"tVorJ7tAqLFDkhUwHi5Lkb","32176","","2009","C","USD","31014469.0"
"VMUV8MK4mbrEuyRCFfRP24","32156","","2009","C","USD","7700000.0"
"uocGAEoJGBP9ziero7cKJ8","32161","","2009","C","USD","5855301.404"
"PnjTzG2PbAwcDrGzu6Jw8M","32124","","2009","C","USD","2500000.0"
"3NAmjP7BiqrANTHh8eXrQS","32122","","2009","C","USD","712000000.0"
"TQiXKcMJK9Zsj7eox85bh5","38722","","2010","C","USD","8826837.647"
"wSasjhfTG2wpXSyimVvkGd","32187","","2010","C","USD","43694786.03"
"AnpsWrnUVBo3Dv9ypufXXT","32195","","2010","C","USD","49796363.14"
"gkjkj9QVc5E5QCfhVpWE3e","32216","","2010","C","USD","47305276.9"
"Ym56xs65PrcXfxt6nu8C7A","33123","","2010","C","USD","383026635.0"
"EHXq3WsuxAbY9QoJxB2rUC","32217","","2010","C","USD","18593525.97"
"PdkqKMS4yCUzhEgqFF3miQ","35685","","2010","C","USD","464838.1493"
"CBTDRpAYhcQPK4yUK3G8Mo","32190","","2010","C","USD","9296.762985"
"EYZdbDiH57Z2EwYjmYTJ2B","38824","","2010","C","USD","137317.4824"
"LSMVW2pobJbcFknjY37HeA","33098","","2010","C","USD","464838.1493"
"D6SrxUCqAEmwBLWaBb8UNd","32234","","2010","C","USD","46483.81493"
"sYQvoUHVvMriP5BJfq4NHC","32192","","2010","C","USD","518759374.6"
"72KTFqLx7cW9aFcN8AG8dB","35595","","2011","C","USD","37332819.55"
"c5ViGcmfjuMFDSXQs65wqJ","32169","","2011","C","USD","65376529.4"
"UENWEZyNSotXUJRtKQbBnh","33092","","2011","C","USD","37238110.38"
"VyZVwoMAJgvxAF6PFuiYo4","32053","","2011","C","USD","22756691.54"
