"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"37190","37190_3667808","3","3667808","Sopó","4.87157","-73.98616","ADM2","second-order administrative division","6295630|6255150|CO|33|3667808","Earth|South America|Colombia|Cundinamarca|Sopó","1","1"
"32146","32146_9253806","3","9253806","Soutr Nkom","13.23223","104.12952","ADM2","second-order administrative division","6295630|6255147|KH|24|9253806","Earth|Asia|Cambodia|Siem Reap|Soutr Nkom","1","2"
"32128","32128_9253806","3","9253806","Soutr Nkom","13.23223","104.12952","ADM2","second-order administrative division","6295630|6255147|KH|24|9253806","Earth|Asia|Cambodia|Siem Reap|Soutr Nkom","1","1"
"35272","35272_1830230","3","1830230","Srŏk Ŏdŏngk","11.66845","104.61224","ADM2","second-order administrative division","6295630|6255147|KH|04|1830230","Earth|Asia|Cambodia|Kampong Speu|Srŏk Ŏdŏngk","1","1"
"32119","32119_8405026","3","8405026","Srŏk Ban Lŭng","13.682","107.03025","ADM2","second-order administrative division","6295630|6255147|KH|23|8405026","Earth|Asia|Cambodia|Ratanakiri|Srŏk Ban Lŭng","1","1"
"32105","32105_8541388","3","8541388","Srŏk Banăn","12.97067","103.04742","ADM2","second-order administrative division","6295630|6255147|KH|29|8541388","Earth|Asia|Cambodia|Battambang|Srŏk Banăn","1","1"
"35591","35591_8541388","3","8541388","Srŏk Banăn","12.97067","103.04742","ADM2","second-order administrative division","6295630|6255147|KH|29|8541388","Earth|Asia|Cambodia|Battambang|Srŏk Banăn","1","1"
"32168","32168_8541388","3","8541388","Srŏk Banăn","12.97067","103.04742","ADM2","second-order administrative division","6295630|6255147|KH|29|8541388","Earth|Asia|Cambodia|Battambang|Srŏk Banăn","1","1"
"32187","32187_8541388","3","8541388","Srŏk Banăn","12.97067","103.04742","ADM2","second-order administrative division","6295630|6255147|KH|29|8541388","Earth|Asia|Cambodia|Battambang|Srŏk Banăn","1","1"
"33092","33092_8405257","3","8405257","Srŏk Basedth","11.18432","104.53584","ADM2","second-order administrative division","6295630|6255147|KH|04|8405257","Earth|Asia|Cambodia|Kampong Speu|Srŏk Basedth","1","1"
"32128","32128_8403885","3","8403885","Srŏk Bathéay","12.02986","104.93171","ADM2","second-order administrative division","6295630|6255147|KH|02|8403885","Earth|Asia|Cambodia|Kampong Cham Province|Srŏk Bathéay","1","1"
"32164","32164_8403885","3","8403885","Srŏk Bathéay","12.02986","104.93171","ADM2","second-order administrative division","6295630|6255147|KH|02|8403885","Earth|Asia|Cambodia|Kampong Cham Province|Srŏk Bathéay","1","1"
